articleNumber,name,brand,category,subcategory,packSizeValue,packSizeUnit,salesUnit,unitsPerSalesUnit,priceCHF,priceBasis,sourceUrl,verifiedAt,verificationStatus,notes
001366,"Schweins-Nierstück mit Huft, ca. 4 kg",Quality,meat_poultry,pork,4,kg,pack,,10.69,per_kg,,,seed_unverified,
019721,"Granarolo Ricotta, 250 g",Granarolo,dairy_eggs,cheese,250,g,tub,,2.13,per_pack,,,seed_unverified,
403240,"Mae Ploy Curry Paste rot, 400 g",Mae Ploy,sauces_condiments,curry_paste,400,g,tub,,2.85,per_pack,,,seed_unverified,
456101,"Cailler Kakao Pulver, 200 g",Cailler,dessert_ingredients,cocoa_powder,200,g,pack,,5.85,per_pack,,,seed_unverified,
048787,"Trauben mix weiss / blau, 5 kg",Quality,vegetables_fruit,grapes,5,kg,case,,2.75,per_kg,,,seed_unverified,
093756,"Hummus, 1 kg",Gemma,sauces_condiments,hummus,1,kg,tub,,11.08,per_pack,,,seed_unverified,
683391,"Valser Prickelnd 6 x 1,5 l",Valser,non_alcoholic_drinks,mineral_water,9,l,case,,0.99,per_liter,,,seed_unverified,
403130,"Thai Kitchen Rote Curry Paste vegan, 1 kg",Thai Kitchen,sauces_condiments,curry_paste,1,kg,pack,,11.15,per_pack,,,seed_unverified,
043920,"Pak Choi Chinesischer Senfkohl, ca. 3 St, ca. 750 g",Quality,vegetables_fruit,leafy_greens,750,g,pack,,4.98,per_kg,,,seed_unverified,
040329,"Basilikum, 1 kg",Egli's frische Kräuter,vegetables_fruit,fresh_herbs,1,kg,pack,,23.95,per_pack,,,seed_unverified,
082297,"Quality Salami Nostrano, 1 kg",Quality,meat_poultry,salami,1,kg,piece,1,14.99,per_piece,,,seed_unverified,
626960,"Aquina ohne CO2, Pack zu 24 Fl. x 50 cl",Aquina,non_alcoholic_drinks,mineral_water,12,l,case,24,0.46,per_piece,,,seed_unverified,
628030,"quini Citron, 1,5 l",Quini,non_alcoholic_drinks,soft_drinks,1.5,l,bottle,,0.99,per_pack,,,seed_unverified,
626970,"Aquina mit CO2, Pack zu 24 Fl. x 50 cl",Aquina,non_alcoholic_drinks,mineral_water,12,l,case,24,0.46,per_piece,,,seed_unverified,
091080,"Kadi Pommes Frites Feinschnitt, TK, 7 x 7 mm, 10 kg",Kadi,vegetables_fruit,potatoes,10,kg,case,,4.3,per_kg,,,seed_unverified,
621510,"San Pellegrino Mineral, 6 x 1.25 l",Sanpellegrino,non_alcoholic_drinks,mineral_water,7.5,l,case,6,0.99,per_piece,,,seed_unverified,
111320,"Zuckersticks schwarz, 1000 x 5 g",,dessert_ingredients,sugar,5,kg,pack,,13.9,per_pack,,,seed_unverified,
398460,"Iliada Oliven grün, entsteint, 3,1 kg",Iliada,sauces_condiments,olives,3.1,kg,jar,,15.2,per_pack,,,seed_unverified,
092930,"Picosa Steinpilze Würfel, 2 x 2 cm, TK, 2 x 1 kg",Picosa,vegetables_fruit,mushrooms,2,kg,case,,18.9,per_kg,,,seed_unverified,
103351,"Hero Konfitüre Extra Sortiment CC, Portionen, 120 x 25 g",Hero,dessert_ingredients,jam,3,kg,case,,35.2,per_pack,,,seed_unverified,
411002,"Roco Konfitüren assortiert, Portionen, 6 x 20 x 25 g",Roco,dessert_ingredients,jam,3,kg,case,,29.88,per_pack,,,seed_unverified,
566880,"Maille Senf nach alter Art, 210 g",Maille,sauces_condiments,mustard,210,g,jar,,2.79,per_pack,,,seed_unverified,
040326,"Basilikum Bund, 80 g",Egli's frische Kräuter,vegetables_fruit,fresh_herbs,80,g,bunch,,3.5,per_pack,,,seed_unverified,
688700,Fusetea Lemon Lemongrass 24 x 50 cl,Fusetea,non_alcoholic_drinks,iced_tea,12,l,case,24,0.99,per_piece,,,seed_unverified,
500870,"Hugo Reitzel Silberzwiebeln, 1,1 kg",Hugo Reitzel,sauces_condiments,pickled_onions,1.1,kg,pack,,5.75,per_pack,,,seed_unverified,
071910,"Quality Chicken Nuggets Premium, paniert, frittiert, tiefgekühlt, 4 kg",Quality,meat_poultry,chicken,4,kg,case,,12.99,per_kg,,,seed_unverified,
019681,"Philadelphia Kräuter, 200 g",Philadelphia,dairy_eggs,cream_cheese,200,g,tub,,2.41,per_pack,,,seed_unverified,
019621,"Philadelphia Kräuter, 1,65 kg",Philadelphia,dairy_eggs,cream_cheese,1.65,kg,tub,,16.95,per_pack,,,seed_unverified,
566890,"Maille Original Dijon-Senf, 215 g",Maille,sauces_condiments,mustard,215,g,jar,,2.59,per_pack,,,seed_unverified,
004190,"Ditzler Heidelbeeren ungezuckert TK, 2 x 2,5 kg",Ditzler,vegetables_fruit,berries,5,kg,case,,8.8,per_kg,,,seed_unverified,
015261,"Mozzarella Netto 45%, gerieben, 2 kg",,dairy_eggs,cheese,2,kg,bag,,6.7,per_kg,,,seed_unverified,
