"articleNumber","name","brand","category","subcategory","packSizeValue","packSizeUnit","salesUnit","unitsPerSalesUnit","ingredients","dietaryTags","allergens","origin","priceCHF","priceBasis","sourceUrl","verifiedAt","verificationStatus","notes","provenance","identityProvenance","packProvenance","priceProvenance","nameConflict","packConflict","conflictFields","conflictDetails","conflictResolution","resolutionSourceUrl"
"006070","Quinoa Chili Burger","Hilcona","plant_based","","1.75","kg","case","3","","","","","25.87","3 x 1,75 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006080","Mediterraner Dinkelburger","Hilcona","plant_based","","1.75","kg","case","3","","","","","25.87","3 x 1,75 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006081","It's Vegic Rice Thais Balls","Hilcona","plant_based","","1.5","kg","case","3","","","","","28.45","3 x 1,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006232","No Mince Veganes Gehacktes auf Soja-Basis.","The Vegetarian Butcher","plant_based","","2","kg","package","1","","vegan","","","18.25","2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006235","Vegan Minced Balls","The Vegetarian Butcher","plant_based","","2","kg","package","1","","vegan","","","19.40","2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006242","Vegan Chickeriki Filet Slices The Vegetarian Butcher - Vegan Chi- ckeriki Fillet Slices - Vegane Streifen auf Sojabasis 1,8 kg","The Vegetarian Butcher","plant_based","","1.8","kg","package","1","","vegan","","","41.40","1,8 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006243","Vegan Burger","The Vegetarian Butcher","plant_based","","80","g","case","30","","vegan","","","1.55","30 x 80 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006247","Vegan Crispy Chickeriki Burger","The Vegetarian Butcher","plant_based","","90","g","case","20","","vegan","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"006249","Sensational Burger verzehrfertig","Garden Gourmet","plant_based","","120","g","case","58","","","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"006251","Vegan Chickeriki Nuggets Vegane Nuggets auf Soja-Basis.","The Vegetarian Butcher","plant_based","","1.75","kg","package","1","","vegan","","","36.05","1,75 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006253","Vegan Chickeriki Chunks Veganes Geschnetzeltes auf Soja-Ba- sis.","The Vegetarian Butcher","plant_based","","1.75","kg","package","1","","vegan","","","37.05","1,75 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006257","Raw Burger","The Vegetarian Butcher","plant_based","","113","g","case","20","","vegan","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"006258","No Schnitzel paniert","The Vegetarian Butcher","plant_based","","90","g","case","20","","vegan","","","1.50","20 x 90 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006262","Randen Falafel 8 kg ca.","Garden Gourmet","plant_based","","20","g","case","400","","","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"006263","Filet-Streifen gegrillt","Garden Gourmet","plant_based","","7.5","kg","package","1","","","","","23.10","7,5 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006280","Meatless Burger","Quality","plant_based","","100","g","case","30","","vegan","","","1.46","30 x 100 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"006290","Fortisa Burger Bun Sesam, TK, 24 x 83 g","Fortisa","bread_bakery","burger_buns","24","piece","case","24","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/006290","2026-08-22","official_product_verified_price_unverified","24 buns x 83 g per case; public page did not expose price.","seed","seed","seed","","false","false","","","",""
"006810","Burger","The Green Mountain","plant_based","","120","g","case","24","","vegan","","","","","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"007121","Trockenfleisch Zum Rohessen. Die pflanzliche Trockenfleischalternative eignet sich als Ergän- zung auf einem Apéro-Plättli, in einem Sandwich oder Wrap oder als Topping auf einem Salat.","Outlawz","plant_based","","60","g","package","1","","","","","4.65","60 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","partial_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"007131","Schinkentranchen Zum Rohessen. Die pflanzliche Schinkenalternative eignet sich als Ergänzung auf einem Apéro-Plättli sowie in einem Sandwich oder Wrap.","Outlawz","plant_based","","80","g","package","1","","","","","4.98","80 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"007141","Speckwürfel Pflanzliche Speckwürfel auf Basis von Weizenprotein.","Outlawz","plant_based","","110","g","package","1","","","","","5.43","110 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"007151","Schinkenwürfel Eignet sich hervorragend als Salat-Topping, als Alternative für eine vegane Carbonara-Sauce oder alsZu- tat in währschaften Apérogebäcken.","Outlawz","plant_based","","110","g","package","1","","vegan","","","4.82","110 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"007161","Specktranchen Pflanzliche Specktranchen auf Basis von Weizenprotein, geschnitten, zum Gekochtessen. Passen besonders gut zu einer Rösti, zum Aufpeppen eines veganen Burgers/Sandwiches oder als Ergänzung auf dem Frühstückstisch.","Outlawz","plant_based","","80","g","package","1","","","","","5.45","80 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","partial_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"007910","Salomon Green Heroes Plant Knusper Schnitzel, TK, 3 x 10 x 100 g","SalomonFoodWorld","plant_based","plant_based_protein","3","kg","case","30","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/007910","2026-08-22","official_product_verified_price_unverified","30 x 100 g units per case; public page did not expose price.","seed","seed","seed","","false","false","","","",""
"010436","Quality Emmentaler AOP, ca. 1,5 kg","Quality","dairy_eggs","cheese","1.5","kg","piece","","","","","","12.2","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"010803","Tilsiter rot unpasteurisiert 1/4 Laib ca. 1 kg 1215","Emmi","dairy_eggs","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"012060","Val d'Arve Le Brie 1/1 Laib","Val d'Arve","dairy_eggs","cheese","1","kg","package","1","","","","","14.50","per_piece","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","partial_public_source","Official public source; pack details require review.","merged","merged","merged","seed","false","true","salesUnit","pack seed=[value=1;unit=kg;salesUnit=piece;units=1] scraped=[value=;unit=;salesUnit=package;units=1]","Official promotions support the base product name. Published weights vary and piece versus generic package remains unresolved.","https://www-static.transgourmet.ch/public/2024-05/kw22-bgh-last_minute-d.pdf"
"012383","Defendi Gorgonzola San Antonio DOP, 1/4 Laib ca. 1,5 kg","Defendi","dairy_eggs","cheese","1.5","kg","piece","","","","","","10.95","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"014651","Premium Burratina, 4 x 50 g","Premium","dairy_eggs","cheese","200","g","pack","4","","","","","","","https://web.transgourmet.ch/de/prodega-easy/catalog/article/014651","2026-08-22","official_product_verified_price_unverified","4 x 50 g per pack; public page did not expose price.","seed","seed","seed","","false","false","","","",""
"015261","Mozzarella Netto 45%, gerieben, 2 kg","","dairy_eggs","cheese","2","kg","bag","","","","","","6.7","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"015870","Cheddar rot gestiftelt","Züger","dairy_eggs","","1","kg","case","6","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"016120","It's Vegic Gemüse Schnitzel","Hilcona","plant_based","","145","g","case","30","","","","","1.96","30 x 145 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"016160","It's Vegic Geschnetzeltes","Hilcona","plant_based","","2","kg","case","3","","","","","12.21","3 x 2 kg","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"016190","It's Vegic Médaillons Blumenkohl und Käse","Hilcona","plant_based","","135","g","case","20","","","","","1.90","20 x 135 g","https://www-static.transgourmet.ch/public/2024-04/kw15-bgh-plant-based-kompetenzbroschuere-d.pdf","2026-08-22T12:54:01.714Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","scraped","false","false","","","",""
"018540","Züger Frischkäse Nature, 1 kg","Züger Frischkäse AG","dairy_eggs","cream_cheese","1","kg","tub","","","","","","7.98","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"018780","Mascarpone","Züger","dairy_eggs","","500","g","case","6","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"018891","Ömür Käse in Salzlake 1394","","dairy_eggs","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"019245","Knoblauch & Kräuter 410","Cantadou","dairy_eggs","","500","g","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-11/lastminute_bgh_kw48_2024_d.pdf","2026-08-22T13:29:32.694Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
